date,minimo,maximo,volumen,month
2014-06-30,0.4557499885559082,196.60000610351562,17442450500.0,2014-06
2014-07-31,0.43549999594688416,199.05999755859375,18341700400.0,2014-07
2014-08-31,0.4334999918937683,200.82000732421875,16660205700.0,2014-08
2014-09-30,0.4555000066757202,201.89999389648438,19683047300.0,2014-09
2014-10-31,0.4192500114440918,201.82000732421875,23075746300.0,2014-10
2014-11-30,0.484499990940094,207.8699951171875,14533609500.0,2014-11
2014-12-31,0.47749999165534973,212.97000122070312,18115375500.0,2014-12
2015-01-31,0.47699999809265137,206.8800048828125,20163543800.0,2015-01
2015-02-28,0.47350001335144043,212.24000549316406,16874406900.0,2015-02
2015-03-31,0.5115000009536743,212.05999755859375,20394549200.0,2015-03
2015-04-30,0.5162500143051147,212.47999572753906,17771892700.0,2015-04
