date,SPY_high,SPY_low,SPY_open,SPY_close,SPY_volume
2008-01-31,138.5399932861328,133.1999969482422,133.39999389648438,137.3699951171875,343680800
2008-02-01,139.61000061035156,137.52000427246094,137.94000244140625,139.5800018310547,206843600
2008-02-04,139.3000030517578,137.63999938964844,139.2100067138672,137.82000732421875,124694300
2008-02-05,136.25,133.6699981689453,135.94000244140625,134.1300048828125,286882500
2008-02-06,135.25,132.41000366210938,134.5800018310547,133.0500030517578,250792900
2008-02-07,134.7899932861328,131.72999572753906,131.8000030517578,133.92999267578125,297368100
2008-02-08,134.22000122070312,132.10000610351562,133.08999633789062,133.07000732421875,221643500
2008-02-11,134.22999572753906,132.0399932861328,133.10000610351562,133.75,188576300
2008-02-12,136.30999755859375,133.97999572753906,134.91000366210938,134.99000549316406,256654400
2008-02-13,137.05999755859375,135.13999938964844,136.00999450683594,136.3699951171875,181967800
2008-02-14,137.0,134.7899932861328,136.9499969482422,135.1699981689453,215207200
2008-02-15,135.22000122070312,133.91000366210938,134.5,135.13999938964844,154110300
2008-02-19,136.88999938964844,134.61000061035156,136.72000122070312,135.52000427246094,145190000
2008-02-20,136.5500030517578,133.75999450683594,133.99000549316406,135.9199981689453,220085700
2008-02-21,137.00999450683594,134.07000732421875,136.66000366210938,134.7899932861328,201051200
2008-02-22,135.85000610351562,132.86000061035156,134.97000122070312,135.6199951171875,205491000
2008-02-25,137.64999389648438,134.77999877929688,135.5399932861328,137.3300018310547,190107000
2008-02-26,138.9499969482422,136.5,136.75,138.36000061035156,212420700
2008-02-27,139.13999938964844,137.41000366210938,137.55999755859375,138.22000122070312,168395800
2008-02-28,137.9600067138672,136.5500030517578,137.24000549316406,136.8699951171875,170831100
2008-02-29,135.67999267578125,132.77999877929688,135.60000610351562,133.82000732421875,252715200
2008-03-03,133.80999755859375,132.24000549316406,133.13999938964844,133.5,189483500
2008-03-04,133.39999389648438,130.99000549316406,132.22999572753906,132.99000549316406,282513100
2008-03-05,134.77000427246094,132.33999633789062,133.4199981689453,133.8300018310547,270681400
2008-03-06,133.22000122070312,130.5500030517578,132.97999572753906,131.05999755859375,247911700
2008-03-07,131.74000549316406,128.5800018310547,129.77000427246094,129.7100067138672,326434600
2008-03-10,129.92999267578125,127.58999633789062,129.83999633789062,128.0,235683600
2008-03-11,132.72000122070312,128.9499969482422,130.72000122070312,132.60000610351562,341440600
2008-03-12,133.77000427246094,131.16000366210938,132.74000549316406,131.36000061035156,229161100
2008-03-13,132.63999938964844,128.60000610351562,129.61000061035156,131.64999389648438,351504200
2008-03-14,132.80999755859375,127.77999877929688,132.77000427246094,129.61000061035156,484687800
2008-03-17,129.25999450683594,126.06999969482422,126.56999969482422,128.3000030517578,405311100
2008-03-18,133.69000244140625,129.97999572753906,130.6199951171875,133.6300048828125,334416600
2008-03-19,134.64999389648438,130.0399932861328,134.13999938964844,130.32000732421875,345971600
2008-03-20,132.91000366210938,129.25999450683594,130.0500030517578,132.0800018310547,245320700
2008-03-24,135.80999755859375,133.24000549316406,133.30999755859375,134.72000122070312,208977300
2008-03-25,135.5500030517578,133.77000427246094,134.86000061035156,134.85000610351562,192947200
2008-03-26,135.08999633789062,133.11000061035156,134.4600067138672,133.1999969482422,196934300
2008-03-27,134.44000244140625,132.36000061035156,134.1999969482422,132.77999877929688,225153200
2008-03-28,133.36000061035156,131.05999755859375,132.99000549316406,131.50999450683594,180896100
2008-03-31,132.72999572753906,131.08999633789062,131.2899932861328,131.97000122070312,166692100
2008-04-01,136.83999633789062,133.50999450683594,133.61000061035156,136.61000061035156,254547300
2008-04-02,137.6699981689453,135.97999572753906,137.0500030517578,136.6999969482422,210910800
2008-04-03,137.44000244140625,135.7100067138672,135.9600067138672,137.0399932861328,175884800
2008-04-04,137.9600067138672,136.1199951171875,137.1199951171875,136.88999938964844,204446800
2008-04-07,138.57000732421875,136.74000549316406,137.8699951171875,136.9600067138672,154245500
2008-04-08,136.9199981689453,135.9499969482422,136.19000244140625,136.82000732421875,148937300
2008-04-09,136.8000030517578,134.88999938964844,136.61000061035156,135.8300018310547,195610600
2008-04-10,136.6699981689453,134.89999389648438,135.4199981689453,136.02000427246094,192967800
2008-04-11,135.1199951171875,133.00999450683594,134.49000549316406,133.3800048828125,222973300
2008-04-14,133.5399932861328,132.5500030517578,133.19000244140625,132.92999267578125,160522000
2008-04-15,133.69000244140625,132.3300018310547,133.5800018310547,133.24000549316406,172389200
2008-04-16,136.91000366210938,134.52000427246094,134.5399932861328,136.85000610351562,189268900
2008-04-17,137.25,135.66000366210938,136.02000427246094,137.0500030517578,179665700
2008-04-18,139.55999755859375,138.25999450683594,138.94000244140625,138.47999572753906,218530600
2008-04-21,138.97999572753906,137.85000610351562,138.22999572753906,138.5500030517578,118587400
2008-04-22,138.30999755859375,136.89999389648438,138.19000244140625,137.94000244140625,162166000
2008-04-23,138.77999877929688,137.1199951171875,138.08999633789062,137.72000122070312,193309000
2008-04-24,139.74000549316406,137.0399932861328,138.0800018310547,138.32000732421875,229381300
2008-04-25,139.88999938964844,137.91000366210938,139.39999389648438,139.60000610351562,190788100
2008-04-28,140.25,139.3800048828125,139.8800048828125,139.6300048828125,105610200
2008-04-29,139.72999572753906,138.61000061035156,139.38999938964844,139.0800018310547,125514100
2008-04-30,140.58999633789062,138.25999450683594,139.2899932861328,138.25999450683594,208395900
2008-05-01,141.1199951171875,138.27000427246094,138.3800048828125,141.1199951171875,187279500
2008-05-02,142.3699951171875,140.55999755859375,142.33999633789062,141.50999450683594,181585500
2008-05-05,141.61000061035156,140.41000366210938,141.0500030517578,140.8300018310547,118504500
2008-05-06,142.1999969482422,139.69000244140625,140.02000427246094,142.0500030517578,179339800
